execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,warmup_runs,timed_runs_planned,timed_runs_observed,status,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms,median_throughput_flows_per_second
50,CPUCOND_023,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,0.5996049999999999,0.647632,0.7438663000000004,426948.34769127436
51,CPUCOND_072,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,73.4281795,80.11562099999999,83.73032999999998,871.6000071674872
52,CPUCOND_062,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,6.427255000000001,8.048948999999999,9.145757489999996,9957.622531756499
53,CPUCOND_048,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,20,100,100,PASS,2845.3492054999997,3036.8875554499996,3136.97859779,89.97138566395915
54,CPUCOND_013,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,13.57273,15.66956845,16.74295299000001,18861.35610864477
55,CPUCOND_027,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,30,150,150,PASS,0.40193,0.7671999999999987,1.3667022999999983,159231.7464402116
56,CPUCOND_031,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,8.88064,11.302716,13.018521299999998,112.60450582569108
57,CPUCOND_058,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,20,100,100,PASS,386.0946955,424.13822605,437.5523997,663.0497941258443
58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,5.9970444999999994,6.1775135,9.9873207,166.74880460568224
59,CPUCOND_057,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,30,150,150,PASS,80.176624,98.55976349999999,105.46197019999997,798.2414849525264
60,CPUCOND_065,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,20,20,PASS,440.7160255,463.294661,,18587.949130377237
61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,20,100,100,PASS,192.807077,207.787326,213.77269749,1327.7520941286139
62,CPUCOND_008,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,20,100,100,PASS,1.37933,2.4928595,2.9363354000000044,185597.43425470346
63,CPUCOND_025,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,20,20,PASS,13.64376,13.910149,,600421.1060736813
64,CPUCOND_068,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,20,100,100,PASS,15.763,22.4649535,25.024126510000016,16240.646042212335
65,CPUCOND_060,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,5,20,20,PASS,15011.109631,15215.292829850001,,545.7291435038658
66,CPUCOND_073,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,344.18710599999997,358.81534905,367.56306069,743.781772022851
67,CPUCOND_063,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,17.011844500000002,17.80770195,18.158578700000003,15048.34140103248
68,CPUCOND_015,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,20,20,PASS,387.7964855,395.42302605,,21124.498156990958
69,CPUCOND_004,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,10,50,50,PASS,7.79601,9.425523049999999,,131349.55579561362
70,CPUCOND_043,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,4580.802071,4987.9483890500005,5854.8477214600125,55.88540974266916
71,CPUCOND_040,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,20,0,TIMEOUT_RESOURCE_LIMIT,,,,
72,CPUCOND_034,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,10,50,50,PASS,8014.44269,8281.73527095,,127.7693591617391
73,CPUCOND_071,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,1.722885,2.28030105,3.040946999999998,580.4252995555269
74,CPUCOND_005,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,20,20,PASS,54.836363500000004,57.170432,,149389.949639929
75,CPUCOND_006,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,0.420935,0.6078939999999997,1.1139635999999995,2375.664111657932
76,CPUCOND_030,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,20,20,PASS,7.494775,11.011481,,1093103.8065002223
77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,10,50,50,PASS,1569.031618,1612.94147645,,652.6319095847382
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,0.5367905,0.6487604499999996,1.038975099999997,1862.924436096473
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,20,100,100,PASS,0.62933,0.903731,1.302828100000001,406781.81568435836
80,CPUCOND_053,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,626.6558415,680.02904195,705.3476320999999,408.5176986728557
