execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,n,mean_batch_latency_ms,std_batch_latency_ms,coefficient_of_variation,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms_if_n_gte_100,maximum_batch_latency_ms_descriptive_only,p50_ci95_low_ms,p50_ci95_high_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_amortized_latency_ms_per_flow,median_throughput_flows_per_second,median_throughput_ci95_low,median_throughput_ci95_high
41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,200,8.44699579,1.3365714560851898,0.1582303921197041,8.549405,10.77292655,12.022796799999991,13.38363,8.3704019,8.76821,10.052432499999993,11.41695,11.312055999999986,13.38363,8.549405,116.9673502518223,114.04838376704964,119.46842770438643
42,CPUCOND_059,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,50,2126.1237301,40.745261395001975,0.01916410640555033,2126.8256445,2193.49449855,,2201.21389,2105.47069,2141.9606194999997,2172.14127745,2201.12222005,,,2.0769781684570314,481.4702738085688,478.49742527945085,486.19223778044244
43,CPUCOND_054,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,50,3405.8607052200005,58.552324520276635,0.01719163805804984,3394.4751425,3497.188846,,3584.722576,3376.568058,3422.2789425,3466.94246705,3559.2533212,,,3.314917131347656,301.66675854959783,299.24804805835925,303.26694452138474
44,CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,150,356.7372593266667,25.855531464746583,0.0724777992451596,349.24230650000004,402.56819104999994,425.29346348999997,459.647066,345.2820665,354.26650600000005,393.9863644999999,411.6027634999999,406.45269949999994,459.647066,5.456911039062501,183.2539686336733,180.6549633041823,185.35571213639764
45,CPUCOND_014,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,50,52.12611830000001,2.4100150005814833,0.046234307851415114,51.819394,56.07643205,,60.998389,50.9883437375,52.336869,54.5457135,59.655053499999994,,,0.050604876953125,19760.946115261853,19565.557121882855,20065.526878116172
46,CPUCOND_026,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,200,0.234240635,0.02783535105244479,0.1188322899331484,0.22873549999999998,0.27346344999999994,0.37020719999999985,0.42553,0.226165,0.231441,0.25311949999999994,0.325049,0.29453383999999927,0.42553,0.22873549999999998,4371.861922392712,4320.755613741731,4419.824446206975
47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,100,2.49575789,0.35920206444607344,0.14392504412600432,2.42636,2.7338090499999996,3.769292400000009,5.52579,2.4079699875,2.4550391375,2.62604655,3.108884499999998,2.7294072100000015,5.52579,0.00947796875,105508.00019642623,104307.15196655651,106345.00993985604
48,CPUCOND_017,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,150,3.151903966666666,0.42283241048874637,0.13415142560194113,3.07202,3.877296499999999,4.5143875,5.64266,3.029355125,3.1068545,3.6218133374999995,4.365784999999998,4.11473,5.64266,0.0480003125,20833.204080317722,20577.785637348683,21135.930785110664
49,CPUCOND_009,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,50,4.3777477199999995,0.3892399029150899,0.08891327865624243,4.3162044999999996,5.100408999999998,,5.85003,4.16618,4.405455,4.6019149624999995,5.759651549999999,,,0.0042150434570312496,237245.5746811329,232545.4644550624,245962.91514640598
50,CPUCOND_023,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,100,0.60680243,0.03529181711956911,0.0581603094759675,0.5996049999999999,0.647632,0.7438663000000004,0.8326,0.5960555000000001,0.60586,0.63471565,0.6830629999999999,0.6483656000000005,0.8326,0.0023422070312499998,426948.34769127436,422167.05044791184,429364.6911556027
