model,model_display,feature_index,feature_name,explanation_selection_count,unique_cases_selected,mean_weight,mean_absolute_weight,positive_count,negative_count,mean_rank,explanation_selection_frequency
xgboost,XGBoost,46,RST Flag Cnt,17,5,0.0754568597964883,0.0754568597964883,17,0,3.0,0.2833333333333333
xgboost,XGBoost,51,ECE Flag Cnt,16,4,0.022474568892995567,0.02316713483489936,15,1,6.0,0.26666666666666666
xgboost,XGBoost,29,Bwd IAT Max,16,5,0.016624512536098097,0.017015176886297206,15,1,7.6875,0.26666666666666666
xgboost,XGBoost,47,PSH Flag Cnt,16,6,0.015405317105314743,0.015842585240776422,15,1,8.5625,0.26666666666666666
xgboost,XGBoost,24,Fwd IAT Max,16,4,-0.01408489322798313,0.01408489322798313,0,16,6.9375,0.26666666666666666
xgboost,XGBoost,39,Pkt Len Min,16,4,0.00477441710267351,0.005560150439686932,13,3,13.625,0.26666666666666666
xgboost,XGBoost,8,Fwd Pkt Len Min,15,4,0.010030661312593007,0.010192233810593926,14,1,10.866666666666667,0.25
xgboost,XGBoost,67,Init Bwd Win Byts,14,4,0.007868578001779815,0.007868578001779815,14,0,10.857142857142858,0.23333333333333334
xgboost,XGBoost,40,Pkt Len Max,14,6,-0.005201615784560424,0.005201615784560424,0,14,12.285714285714286,0.23333333333333334
xgboost,XGBoost,41,Pkt Len Mean,14,6,0.0011428441809551275,0.004469391659858657,7,7,12.928571428571429,0.23333333333333334
xgboost,XGBoost,12,Bwd Pkt Len Min,13,3,0.012180079612199631,0.012180079612199631,13,0,8.615384615384615,0.21666666666666667
xgboost,XGBoost,74,Idle Mean,11,3,-0.026104619672880854,0.026104619672880854,0,11,4.454545454545454,0.18333333333333332
xgboost,XGBoost,26,Bwd IAT Tot,11,3,-0.004146310361045256,0.006224085582024997,1,10,11.454545454545455,0.18333333333333332
xgboost,XGBoost,16,Flow Pkts/s,10,2,0.02442777713985898,0.02442777713985898,10,0,5.5,0.16666666666666666
xgboost,XGBoost,22,Fwd IAT Mean,10,2,-0.01847780565909827,0.01847780565909827,0,10,5.3,0.16666666666666666
xgboost,XGBoost,10,Fwd Pkt Len Std,10,2,-0.016859065845556267,0.016859065845556267,0,10,6.9,0.16666666666666666
xgboost,XGBoost,75,Idle Std,10,2,-0.010256600867135087,0.010256600867135087,0,10,10.0,0.16666666666666666
xgboost,XGBoost,48,ACK Flag Cnt,10,3,0.0035023545314797006,0.008154053340156543,6,4,9.7,0.16666666666666666
xgboost,XGBoost,72,Active Max,9,2,-0.015064574520202077,0.015064574520202077,0,9,6.333333333333333,0.15
xgboost,XGBoost,76,Idle Max,9,2,-0.00930374124077188,0.00930374124077188,0,9,10.333333333333334,0.15
xgboost,XGBoost,30,Bwd IAT Min,8,4,0.033348303864983456,0.033348303864983456,8,0,3.75,0.13333333333333333
xgboost,XGBoost,20,Flow IAT Min,8,2,0.018794139446528677,0.018794139446528677,8,0,6.75,0.13333333333333333
xgboost,XGBoost,28,Bwd IAT Std,7,3,0.01536638481225047,0.01536638481225047,7,0,9.428571428571429,0.11666666666666667
xgboost,XGBoost,54,Fwd Seg Size Avg,7,4,0.0002438755949751799,0.0023680506058669296,3,4,14.285714285714286,0.11666666666666667
xgboost,XGBoost,25,Fwd IAT Min,6,3,-0.018782597975604148,0.018782597975604148,0,6,7.666666666666667,0.1
xgboost,XGBoost,77,Idle Min,6,2,0.014994950866170776,0.014994950866170776,6,0,8.0,0.1
xgboost,XGBoost,1,Protocol,6,2,-0.0013812933511547292,0.0030780344399776913,1,5,15.0,0.1
xgboost,XGBoost,43,Pkt Len Var,6,2,0.0021377925710128432,0.0025288721528756095,5,1,13.333333333333334,0.1
xgboost,XGBoost,37,Fwd Pkts/s,5,1,0.021230557666611933,0.021230557666611933,5,0,1.4,0.08333333333333333
xgboost,XGBoost,52,Down/Up Ratio,5,5,0.0031563391197139455,0.004576306853919016,4,1,14.2,0.08333333333333333
xgboost,XGBoost,70,Active Mean,4,2,0.009971096828493991,0.009971096828493991,4,0,10.25,0.06666666666666667
xgboost,XGBoost,31,Fwd PSH Flags,4,1,0.003256865203711285,0.003256865203711285,4,0,13.75,0.06666666666666667
xgboost,XGBoost,55,Bwd Seg Size Avg,4,2,-0.0018048726312980587,0.0022947346942768314,2,2,13.0,0.06666666666666667
xgboost,XGBoost,45,SYN Flag Cnt,4,1,0.0011223273454697758,0.0011223273454697758,4,0,15.0,0.06666666666666667
xgboost,XGBoost,27,Bwd IAT Mean,3,1,0.00935020408985375,0.00935020408985375,3,0,9.666666666666666,0.05
xgboost,XGBoost,73,Active Min,1,1,-0.008775304498360795,0.008775304498360795,0,1,10.0,0.016666666666666666
