disagreement_case_id,model,model_display,feature_index,feature_name,selection_count,mean_weight,mean_absolute_weight,weight_standard_deviation,positive_count,negative_count,mean_rank,selection_frequency,stable_in_at_least_four_seeds
DISAGREE_03,lightgbm,LightGBM,1,Protocol,2,-0.00030587771263990236,0.007296111265795232,0.010318259504670748,1,1,12.5,0.4,False
DISAGREE_03,lightgbm,LightGBM,8,Fwd Pkt Len Min,2,-0.004579878683295223,0.004579878683295223,0.0001025456113890041,0,2,14.0,0.4,False
DISAGREE_03,lightgbm,LightGBM,55,Bwd Seg Size Avg,1,0.01839344163760767,0.01839344163760767,,1,0,9.0,0.2,False
DISAGREE_03,xgboost,XGBoost,66,Init Fwd Win Byts,5,-0.05742579386484309,0.05742579386484309,0.0017701131353063365,0,5,1.0,1.0,True
DISAGREE_03,xgboost,XGBoost,53,Pkt Size Avg,5,0.04129885396309843,0.04129885396309843,0.0015005943291599682,5,0,2.0,1.0,True
DISAGREE_03,xgboost,XGBoost,0,Dst Port,5,0.03243614165453463,0.03243614165453463,0.0019597170050916985,5,0,3.0,1.0,True
DISAGREE_03,xgboost,XGBoost,11,Bwd Pkt Len Max,5,-0.02799503016808434,0.02799503016808434,0.0021844173081217995,0,5,4.2,1.0,True
DISAGREE_03,xgboost,XGBoost,18,Flow IAT Std,5,-0.026715198553873755,0.026715198553873755,0.0017429250408341284,0,5,4.8,1.0,True
DISAGREE_03,xgboost,XGBoost,23,Fwd IAT Std,5,0.020731013191824663,0.020731013191824663,0.001102102819586889,5,0,6.8,1.0,True
DISAGREE_03,xgboost,XGBoost,29,Bwd IAT Max,5,0.019653403836104796,0.019653403836104796,0.0015615343493560253,5,0,7.0,1.0,True
DISAGREE_03,xgboost,XGBoost,12,Bwd Pkt Len Min,5,0.016918775843858175,0.016918775843858175,0.0012316408741922045,5,0,9.2,1.0,True
DISAGREE_03,xgboost,XGBoost,7,Fwd Pkt Len Max,5,-0.015643868384248333,0.015643868384248333,0.0033868210020471454,0,5,9.6,1.0,True
DISAGREE_03,xgboost,XGBoost,8,Fwd Pkt Len Min,5,0.014079104115151403,0.014079104115151403,0.0020297069092451024,5,0,10.2,1.0,True
DISAGREE_03,xgboost,XGBoost,69,Fwd Seg Size Min,5,0.01117610443265138,0.01117610443265138,0.0018866201596692176,5,0,12.4,1.0,True
DISAGREE_03,xgboost,XGBoost,39,Pkt Len Min,5,0.009240407995157948,0.009240407995157948,0.001747050470238068,5,0,13.0,1.0,True
DISAGREE_03,xgboost,XGBoost,1,Protocol,5,-0.0015466250587016404,0.0035827143652891946,0.004001470256518694,1,4,15.0,1.0,True
DISAGREE_03,xgboost,XGBoost,25,Fwd IAT Min,4,-0.01933016251062876,0.01933016251062876,0.002159105654207936,0,4,7.75,0.8,True
DISAGREE_03,xgboost,XGBoost,14,Bwd Pkt Len Std,3,-0.006994107499984997,0.006994107499984997,0.0011684626962818615,0,3,13.333333333333334,0.6,False
DISAGREE_03,xgboost,XGBoost,19,Flow IAT Max,2,-0.012785054010185832,0.012785054010185832,0.0011336852128495097,0,2,12.0,0.4,False
DISAGREE_03,xgboost,XGBoost,52,Down/Up Ratio,1,0.006086014572519517,0.006086014572519517,,1,0,14.0,0.2,False
DISAGREE_04,lightgbm,LightGBM,66,Init Fwd Win Byts,5,-0.13941612121683816,0.13941612121683816,0.0014859571058477125,0,5,1.0,1.0,True
DISAGREE_04,lightgbm,LightGBM,69,Fwd Seg Size Min,5,0.1324841805590121,0.1324841805590121,0.002214229778656589,5,0,2.0,1.0,True
DISAGREE_04,lightgbm,LightGBM,0,Dst Port,5,-0.043468277827846014,0.043468277827846014,0.0015317403264751474,0,5,3.0,1.0,True
DISAGREE_04,lightgbm,LightGBM,37,Fwd Pkts/s,5,0.029514276283278306,0.029514276283278306,0.004182520954884954,5,0,4.2,1.0,True
DISAGREE_04,lightgbm,LightGBM,19,Flow IAT Max,5,-0.02753464865016434,0.02753464865016434,0.0023336666546799477,0,5,4.8,1.0,True
DISAGREE_04,lightgbm,LightGBM,51,ECE Flag Cnt,5,0.019216888274799507,0.019216888274799507,0.0016498459777537498,5,0,6.0,1.0,True
DISAGREE_04,lightgbm,LightGBM,46,RST Flag Cnt,5,0.011857484614141791,0.011857484614141791,0.0025000033134417753,5,0,7.2,1.0,True
DISAGREE_04,lightgbm,LightGBM,7,Fwd Pkt Len Max,5,-0.008892824084605792,0.008892824084605792,0.0035776649006373554,0,5,9.2,1.0,True
DISAGREE_04,lightgbm,LightGBM,40,Pkt Len Max,4,-0.0067843726353926815,0.0067843726353926815,0.0015667797382285511,0,4,10.25,0.8,True
DISAGREE_04,lightgbm,LightGBM,42,Pkt Len Std,4,0.005001594909376522,0.005001594909376522,0.0019662111885329256,4,0,12.25,0.8,True
DISAGREE_04,lightgbm,LightGBM,13,Bwd Pkt Len Mean,4,0.004678916253031704,0.004678916253031704,0.0011862991783540958,4,0,12.75,0.8,True
DISAGREE_04,lightgbm,LightGBM,55,Bwd Seg Size Avg,3,0.005427008079169388,0.005427008079169388,0.0011033550920401397,3,0,10.666666666666666,0.6,False
DISAGREE_04,lightgbm,LightGBM,41,Pkt Len Mean,3,0.00458625336308988,0.00458625336308988,0.0008878700064950971,3,0,12.666666666666666,0.6,False
DISAGREE_04,lightgbm,LightGBM,11,Bwd Pkt Len Max,3,-0.004524306259969502,0.004524306259969502,0.0013308394753626528,0,3,13.0,0.6,False
DISAGREE_04,lightgbm,LightGBM,53,Pkt Size Avg,3,0.004503172152184733,0.004503172152184733,0.0012251727525495633,3,0,12.333333333333334,0.6,False
DISAGREE_04,lightgbm,LightGBM,16,Flow Pkts/s,2,0.008623282151510255,0.008623282151510255,0.0011358613227114927,2,0,9.5,0.4,False
DISAGREE_04,lightgbm,LightGBM,43,Pkt Len Var,2,0.0064769676010591895,0.0064769676010591895,0.0018038246330851907,2,0,10.5,0.4,False
DISAGREE_04,lightgbm,LightGBM,10,Fwd Pkt Len Std,2,-0.004503061177005567,0.004503061177005567,0.0015366456464251787,0,2,13.0,0.4,False
DISAGREE_04,lightgbm,LightGBM,52,Down/Up Ratio,2,0.00101511343456411,0.00379964825825286,0.005373514099068504,1,1,14.0,0.4,False
DISAGREE_04,lightgbm,LightGBM,21,Fwd IAT Tot,1,0.009767512320404834,0.009767512320404834,,1,0,8.0,0.2,False
DISAGREE_04,lightgbm,LightGBM,76,Idle Max,1,0.008077111460699492,0.008077111460699492,,1,0,9.0,0.2,False
DISAGREE_04,lightgbm,LightGBM,54,Fwd Seg Size Avg,1,-0.0036122333987887033,0.0036122333987887033,,0,1,15.0,0.2,False
DISAGREE_04,xgboost,XGBoost,69,Fwd Seg Size Min,5,0.08037078602281097,0.08037078602281097,0.002069694919014862,5,0,1.0,1.0,True
DISAGREE_04,xgboost,XGBoost,66,Init Fwd Win Byts,5,-0.054463075111667106,0.054463075111667106,0.0015846627160543113,0,5,2.0,1.0,True
