disagreement_case_id,model,model_display,original_row_index,y_true,attack_category,rank,feature_index,feature_name,raw_feature_value,shap_value_raw_score,absolute_shap_value,direction
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,22,28,Bwd IAT Std,10205.0134688789,-0.0607122977622769,0.0607122977622769,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,23,65,Subflow Bwd Byts,5531.0,-0.05634660774827066,0.05634660774827066,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,24,42,Pkt Len Std,565.5401179404,0.053885082047801014,0.053885082047801014,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,25,67,Init Bwd Win Byts,946.0,-0.05370513216174984,0.05370513216174984,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,26,36,Bwd Header Len,152.0,-0.05210383433604997,0.05210383433604997,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,27,41,Pkt Len Mean,346.0,0.049587838003677095,0.049587838003677095,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,28,26,Bwd IAT Tot,41253.0,0.047697306583389644,0.047697306583389644,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,29,35,Fwd Header Len,192.0,0.046581258130824844,0.046581258130824844,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,30,16,Flow Pkts/s,2.6753168578,-0.04427121965073909,0.04427121965073909,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,31,53,Pkt Size Avg,367.625,0.03988349068154205,0.03988349068154205,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,32,2,Flow Duration,5980600.0,-0.037885305491647286,0.037885305491647286,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,33,77,Idle Min,5859675.0,0.036253200847137165,0.036253200847137165,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,34,76,Idle Max,5859675.0,-0.033451784973288795,0.033451784973288795,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,35,15,Flow Byts/s,983.5133598636,0.03126603590320345,0.03126603590320345,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,36,74,Idle Mean,5859675.0,0.02890070517207658,0.02890070517207658,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,37,25,Fwd IAT Min,30.0,0.028572223897139745,0.028572223897139745,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,38,70,Active Mean,120895.0,0.028370415238245506,0.028370415238245506,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,39,63,Subflow Fwd Byts,351.0,-0.02774688122309871,0.02774688122309871,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,40,54,Fwd Seg Size Avg,39.0,0.026324359045370414,0.026324359045370414,supports_attack
