disagreement_case_id,replicate_index,explanation_seed,model,model_display,y_true,attack_category,rank,feature_index,feature_name,weight,absolute_weight,raw_feature_value
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,7,69,Fwd Seg Size Min,0.018070997664658365,0.018070997664658365,20.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,8,55,Bwd Seg Size Avg,-0.006071275571063569,0.006071275571063569,790.1428571429
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,9,42,Pkt Len Std,0.004638651121867195,0.004638651121867195,565.5401179404
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,10,41,Pkt Len Mean,-0.0035237300932280946,0.0035237300932280946,346.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,11,14,Bwd Pkt Len Std,0.0031128473054838172,0.0031128473054838172,674.2636548046
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,12,40,Pkt Len Max,-0.003070582150132095,0.003070582150132095,1460.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,13,43,Pkt Len Var,0.001807608044813558,0.001807608044813558,319835.625
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,14,53,Pkt Size Avg,0.001243891949703876,0.001243891949703876,367.625
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,15,13,Bwd Pkt Len Mean,-0.00040795919161493784,0.00040795919161493784,790.1428571429
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,1,66,Init Fwd Win Byts,-0.08311616783083962,0.08311616783083962,-1.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,2,7,Fwd Pkt Len Max,-0.06343947152895178,0.06343947152895178,500.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,3,37,Fwd Pkts/s,0.036777833918604876,0.036777833918604876,0.06705442
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,4,51,ECE Flag Cnt,0.03252080030181405,0.03252080030181405,0.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,5,0,Dst Port,0.023417415367899794,0.023417415367899794,500.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,6,24,Fwd IAT Max,-0.02172579522294809,0.02172579522294809,41990301.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,7,46,RST Flag Cnt,0.020183934668988154,0.020183934668988154,0.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,8,76,Idle Max,-0.01885982788571393,0.01885982788571393,41990301.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,9,23,Fwd IAT Std,0.007345383111869329,0.007345383111869329,15345146.3008279
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,10,74,Idle Mean,-0.006844653960555489,0.006844653960555489,21369823.75
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,11,21,Fwd IAT Tot,-0.003996039412013773,0.003996039412013773,89479560.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,12,54,Fwd Seg Size Avg,-0.0032157270149695315,0.0032157270149695315,500.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,13,9,Fwd Pkt Len Mean,-0.0023887101679021393,0.0023887101679021393,500.0
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,14,53,Pkt Size Avg,-0.001972448031896263,0.001972448031896263,583.3333333333
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,15,75,Idle Std,0.0019041809378897644,0.0019041809378897644,15281064.5684944
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,1,66,Init Fwd Win Byts,-0.0833896196901605,0.0833896196901605,-1.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,2,7,Fwd Pkt Len Max,-0.06551750496406648,0.06551750496406648,500.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,3,37,Fwd Pkts/s,0.04022896978505592,0.04022896978505592,0.06705442
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,4,51,ECE Flag Cnt,0.028939222449577237,0.028939222449577237,0.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,5,24,Fwd IAT Max,-0.022644902483449143,0.022644902483449143,41990301.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,6,0,Dst Port,0.02161623748435952,0.02161623748435952,500.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,7,46,RST Flag Cnt,0.01714422126969319,0.01714422126969319,0.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,8,76,Idle Max,-0.016095036779075127,0.016095036779075127,41990301.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,9,73,Active Min,-0.010019541717573684,0.010019541717573684,4000265.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,10,23,Fwd IAT Std,0.009153790902567769,0.009153790902567769,15345146.3008279
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,11,22,Fwd IAT Mean,-0.005688755830223881,0.005688755830223881,17895912.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,12,17,Flow IAT Mean,-0.005005156706065636,0.005005156706065636,17895912.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,13,53,Pkt Size Avg,-0.0015840469814785273,0.0015840469814785273,583.3333333333
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,14,8,Fwd Pkt Len Min,-0.001220986261893121,0.001220986261893121,500.0
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,15,39,Pkt Len Min,-0.0011916791017052137,0.0011916791017052137,500.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,1,66,Init Fwd Win Byts,-0.08149854719687187,0.08149854719687187,-1.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,2,7,Fwd Pkt Len Max,-0.06394599974967419,0.06394599974967419,500.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,3,37,Fwd Pkts/s,0.03967845134098997,0.03967845134098997,0.06705442
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,4,51,ECE Flag Cnt,0.03338731128573907,0.03338731128573907,0.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,5,24,Fwd IAT Max,-0.021748465481870777,0.021748465481870777,41990301.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,6,0,Dst Port,0.021684138019250582,0.021684138019250582,500.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,7,76,Idle Max,-0.021091599450174362,0.021091599450174362,41990301.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,8,46,RST Flag Cnt,0.01923171504239863,0.01923171504239863,0.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,9,23,Fwd IAT Std,0.00658927257524487,0.00658927257524487,15345146.3008279
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,10,70,Active Mean,0.006271197391354975,0.006271197391354975,4000265.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,11,19,Flow IAT Max,-0.0046543493393728964,0.0046543493393728964,41990301.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,12,54,Fwd Seg Size Avg,0.003214126597306782,0.003214126597306782,500.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,13,8,Fwd Pkt Len Min,-0.0026020574872702425,0.0026020574872702425,500.0
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,14,75,Idle Std,-0.002396642683052324,0.002396642683052324,15281064.5684944
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,15,39,Pkt Len Min,0.00043222692190916925,0.00043222692190916925,500.0
