disagreement_case_id,model,model_display,first_replicate,second_replicate,top5_jaccard,top10_jaccard,top15_jaccard,weight_cosine_similarity,shared_feature_count,shared_sign_agreement,absolute_weight_spearman,spearman_p_value,operational_stability_class
DISAGREE_03,xgboost,XGBoost,2,4,1.0,1.0,0.875,0.9828241634637132,14,1.0,0.9374047841774689,1.4802999907497805e-36,High
DISAGREE_03,xgboost,XGBoost,2,5,1.0,0.8181818181818182,1.0,0.9897217077817194,15,0.9333333333333333,0.998930910062809,3.114686191791038e-103,High
DISAGREE_03,xgboost,XGBoost,3,4,1.0,1.0,1.0,0.9972083801212378,15,1.0,0.9997861820125618,8.694640270345631e-130,High
DISAGREE_03,xgboost,XGBoost,3,5,1.0,0.8181818181818182,0.875,0.9847106186870039,14,0.9285714285714286,0.9377255111586261,1.2250685968899065e-36,High
DISAGREE_03,xgboost,XGBoost,4,5,1.0,0.8181818181818182,0.875,0.984555185041748,14,0.9285714285714286,0.9373513296806094,1.527586018740769e-36,High
DISAGREE_04,lightgbm,LightGBM,1,2,1.0,0.6666666666666666,0.5789473684210527,0.9948434475932056,11,1.0,0.731123880796472,2.9569549973808726e-14,Moderate
DISAGREE_04,lightgbm,LightGBM,1,3,1.0,0.6666666666666666,0.5,0.9930468717672163,10,1.0,0.6632901242817051,3.6650629275255695e-11,Moderate
DISAGREE_04,lightgbm,LightGBM,1,4,1.0,0.6666666666666666,0.5789473684210527,0.994898839842457,11,1.0,0.725083522651343,6.070745156973159e-14,Moderate
DISAGREE_04,lightgbm,LightGBM,1,5,1.0,0.6666666666666666,0.5789473684210527,0.9951148323385542,11,1.0,0.7233729787518375,7.416748415499412e-14,Moderate
DISAGREE_04,lightgbm,LightGBM,2,3,1.0,0.5384615384615384,0.6666666666666666,0.9951201388077237,12,1.0,0.793024188159829,4.998147857011812e-18,Moderate
DISAGREE_04,lightgbm,LightGBM,2,4,1.0,0.5384615384615384,0.5,0.9935665265243837,10,1.0,0.6584792195643457,5.667561758074658e-11,Moderate
DISAGREE_04,lightgbm,LightGBM,2,5,1.0,0.6666666666666666,0.6666666666666666,0.9954902578545248,12,1.0,0.7861820125618068,1.4999023939387197e-17,Moderate
DISAGREE_04,lightgbm,LightGBM,3,4,1.0,0.8181818181818182,0.6666666666666666,0.996054500096857,12,0.9166666666666666,0.8061739943872778,5.361019430188987e-19,High
DISAGREE_04,lightgbm,LightGBM,3,5,1.0,0.6666666666666666,0.6666666666666666,0.9970645979397104,12,1.0,0.8152078043565414,1.0453167571113989e-19,Moderate
DISAGREE_04,lightgbm,LightGBM,4,5,1.0,0.6666666666666666,0.7647058823529411,0.9985453351348158,13,1.0,0.88047574502205,2.394920102524853e-26,Moderate
DISAGREE_04,xgboost,XGBoost,1,2,1.0,1.0,0.6666666666666666,0.986093535429759,12,1.0,0.825096886275558,1.5710779438408166e-20,High
DISAGREE_04,xgboost,XGBoost,1,3,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.9810897772276809,13,1.0,0.8680208472537752,8.156032433427553e-25,High
DISAGREE_04,xgboost,XGBoost,1,4,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.9404997982900645,13,1.0,0.8463183215287986,1.7445419355236583e-22,Moderate
DISAGREE_04,xgboost,XGBoost,1,5,1.0,0.8181818181818182,0.7647058823529411,0.9914412535592677,13,1.0,0.8811706534812241,1.9445905852826134e-26,High
DISAGREE_04,xgboost,XGBoost,2,3,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.9806181005211576,12,1.0,0.815261258853401,1.0349799697284577e-19,High
DISAGREE_04,xgboost,XGBoost,2,4,0.6666666666666666,0.6666666666666666,0.5789473684210527,0.9208116578706463,11,1.0,0.7242817051984498,6.669461077774201e-14,Moderate
DISAGREE_04,xgboost,XGBoost,2,5,1.0,0.8181818181818182,0.7647058823529411,0.9900312105374264,13,1.0,0.8796204730722972,3.0893139063400525e-26,High
DISAGREE_04,xgboost,XGBoost,3,4,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.9416572945017715,13,1.0,0.8510223172524388,5.86566595875478e-23,High
DISAGREE_04,xgboost,XGBoost,3,5,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.9872461352397546,13,1.0,0.8753441133235333,1.0725213048004268e-25,Moderate
DISAGREE_04,xgboost,XGBoost,4,5,0.6666666666666666,0.5384615384615384,0.7647058823529411,0.930159829723362,13,1.0,0.8409194173459842,5.832404021721529e-22,Moderate
DISAGREE_05,lightgbm,LightGBM,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9556913396676279,12,1.0,0.7932380061472671,4.826218159434063e-18,Moderate
