publication_scope,condition_id,target_id,comparison_group,hardware_mode,physical_gpu_index,batch_size,status,n,p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_latency_ms_if_n_gte_100,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_throughput_flows_per_second,throughput_ci95_low_flows_per_second,throughput_ci95_high_flows_per_second,gpu_memory_baseline_mib,gpu_memory_loaded_mib,gpu_memory_prepared_input_mib,gpu_memory_peak_process_mib,delta_model_gpu_memory_mib,delta_peak_gpu_memory_mib,torch_peak_allocated_mib,timing_boundary,output_boundary_detail,error_or_backend_detail,complete_e2e_available,ratio_uncertainty_available,publication_claim_boundary
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_031,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,"Operational ensemble requires both frozen LightGBM and XGBoost probability generation; LightGBM native GPU inference is unavailable, so the complete ensemble GPU backend is unavailable.",False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_032,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,"Operational ensemble requires both frozen LightGBM and XGBoost probability generation; LightGBM native GPU inference is unavailable, so the complete ensemble GPU backend is unavailable.",False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_033,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,"Operational ensemble requires both frozen LightGBM and XGBoost probability generation; LightGBM native GPU inference is unavailable, so the complete ensemble GPU backend is unavailable.",False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_034,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,"Operational ensemble requires both frozen LightGBM and XGBoost probability generation; LightGBM native GPU inference is unavailable, so the complete ensemble GPU backend is unavailable.",False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_035,ENS_LGBM_XGB_EQUAL,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,8192,BACKEND_UNAVAILABLE,0,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_BACKEND_UNAVAILABLE,,"Operational ensemble requires both frozen LightGBM and XGBoost probability generation; LightGBM native GPU inference is unavailable, so the complete ensemble GPU backend is unavailable.",False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_036,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,PASS,200,1.236696,1.218062,1.249877,1.44409055,1.3902046949999995,1.508217,1.7897307299999996,1.4685648299999967,1.885,808.6061612385726,800.0787277468103,820.9162903449572,102.0,104.0,104.0,150.0,2.0,48.0,9.896484375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_037,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,PASS,150,2.4818445,2.345592,2.8431415,2.9253713500000003,2.91052018,4.162219249999982,4.664451089999999,2.92808958,4.716686,25787.3596694438,22518.41505237844,27344.11306273045,102.0,104.0,104.0,170.0,2.0,68.0,20.583984375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_038,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,PASS,100,8.6137125,8.60181,8.62075,8.68741475,8.65695405,8.7139407,8.72369129,8.687307500000001,8.743421,29720.05394424688,29694.3938292925,29756.53574410867,102.0,104.0,104.0,202.0,2.0,100.0,51.30712890625,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_039,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,PASS,50,36.0697165,35.974758,36.2055445,36.48745755,36.42402785,36.8596737,,,,28389.467434511665,28283.007136775435,28464.402734828684,102.0,104.0,104.0,422.0,2.0,320.0,171.76220703125,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_040,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,8192,PASS,20,304.5261795,304.0931445,305.0120565,305.60219735000004,305.159461,307.252734,,,,26900.80882658312,26857.95767744537,26935.734310335905,102.0,104.0,124.0,2560.0,2.0,2458.0,1289.92626953125,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
