split,family,subset,reporting,jaccard_at_10_vs_full,jaccard_at_20_vs_full,spearman_common_retained,new_top10_entrants,new_top20_entrants,features_leaving_top10,features_leaving_top20,number_positive_share_gainers
CHRONOLOGICAL_NATURAL,PRIMARY,NO_INIT_FWD_WIN_BYTS,LightGBM,0.42857142857142855,0.48148148148148145,0.8985385458531238,Pkt Len Std|Flow IAT Min|Tot Bwd Pkts|Bwd Pkt Len Std,Pkt Len Std|Bwd Pkt Len Std|TotLen Bwd Pkts|Flow IAT Max|Bwd Pkts/s|Idle Min|PSH Flag Cnt,Init Fwd Win Byts|Fwd IAT Min|Flow IAT Std|Flow Pkts/s,Init Fwd Win Byts|Flow Pkts/s|Fwd Pkt Len Std|Fwd IAT Mean|Fwd IAT Std|Fwd Pkt Len Max|Fwd Pkt Len Mean,35
CHRONOLOGICAL_NATURAL,PRIMARY,NO_INIT_FWD_WIN_BYTS,XGBoost,0.5384615384615384,0.6,0.8876872488125688,PSH Flag Cnt|Bwd Pkts/s|Tot Bwd Pkts,Tot Bwd Pkts|Fwd Pkt Len Std|Fwd Pkts/s|Bwd Pkt Len Std|Flow IAT Std,Init Fwd Win Byts|Fwd Pkt Len Mean|RST Flag Cnt,Init Fwd Win Byts|Fwd Pkt Len Mean|RST Flag Cnt|Fwd IAT Std|Fwd IAT Mean,27
CHRONOLOGICAL_NATURAL,PRIMARY,NO_INIT_FWD_WIN_BYTS,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.5384615384615384,0.48148148148148145,0.9195104128607966,Pkt Len Std|Tot Bwd Pkts|Bwd Pkts/s,Bwd Pkts/s|PSH Flag Cnt|Bwd Pkt Len Std|Flow IAT Max|Idle Min|TotLen Bwd Pkts|Fwd Pkts/s,Init Fwd Win Byts|Fwd Pkt Len Max|Fwd IAT Min,Init Fwd Win Byts|Fwd IAT Min|Fwd Pkt Len Mean|Flow Pkts/s|Fwd IAT Std|Fwd IAT Mean|Bwd Pkt Len Max,28
CHRONOLOGICAL_NATURAL,PRIMARY,NO_FWD_SEG_SIZE_MIN,LightGBM,0.6666666666666666,0.8181818181818182,0.9829375228352212,Fwd Pkt Len Std|Flow IAT Min,Bwd Pkts/s|Idle Mean,Flow Pkts/s|Fwd Seg Size Min,Fwd Seg Size Min|Flow Duration,32
CHRONOLOGICAL_NATURAL,PRIMARY,NO_FWD_SEG_SIZE_MIN,XGBoost,0.6666666666666666,0.8181818181818182,0.9602484472049689,Bwd Pkt Len Min|TotLen Bwd Pkts,TotLen Bwd Pkts|Flow IAT Std,Fwd Seg Size Min|RST Flag Cnt,Fwd Seg Size Min|Fwd IAT Mean,34
CHRONOLOGICAL_NATURAL,PRIMARY,NO_FWD_SEG_SIZE_MIN,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.8181818181818182,0.7391304347826086,0.978078187796858,Flow IAT Std,Bwd Pkts/s|Flow IAT Max|TotLen Bwd Pkts,Fwd Seg Size Min,Fwd Seg Size Min|Fwd IAT Mean|Tot Bwd Pkts,28
CHRONOLOGICAL_NATURAL,PRIMARY,NO_SUSPICIOUS_GROUP,LightGBM,0.25,0.48148148148148145,0.8661106233538192,Fwd Pkt Len Std|Flow IAT Min|Bwd Pkt Len Std|Bwd Pkts/s|Fwd IAT Mean|ACK Flag Cnt,Bwd Pkt Len Std|Bwd Pkts/s|ACK Flag Cnt|Pkt Len Max|TotLen Bwd Pkts|PSH Flag Cnt|Bwd IAT Min,Dst Port|Init Fwd Win Byts|Fwd IAT Min|Flow IAT Std|Flow Pkts/s|Fwd Seg Size Min,Dst Port|Init Fwd Win Byts|Flow IAT Std|Flow Pkts/s|Fwd Seg Size Min|Bwd Pkt Len Max|Fwd Pkt Len Mean,42
CHRONOLOGICAL_NATURAL,PRIMARY,NO_SUSPICIOUS_GROUP,XGBoost,0.3333333333333333,0.3793103448275862,0.7242796711629021,Fwd Pkt Len Std|Tot Bwd Pkts|Bwd Pkt Len Std|Fwd IAT Tot|Fwd IAT Min,Fwd Pkt Len Std|Tot Bwd Pkts|Bwd Pkt Len Std|ACK Flag Cnt|Bwd IAT Min|Tot Fwd Pkts|Pkt Len Max|Fwd IAT Max|Bwd Header Len,Dst Port|Init Fwd Win Byts|Fwd Pkt Len Mean|Fwd Seg Size Min|RST Flag Cnt,Dst Port|Init Fwd Win Byts|Fwd Pkt Len Mean|Fwd Seg Size Min|RST Flag Cnt|Bwd Pkt Len Min|Idle Min|Fwd IAT Std|Fwd IAT Mean,39
CHRONOLOGICAL_NATURAL,PRIMARY,NO_SUSPICIOUS_GROUP,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.42857142857142855,0.42857142857142855,0.8391731183653924,Fwd Pkt Len Std|Bwd Pkt Len Std|Pkt Len Std|Fwd IAT Tot,Bwd Pkt Len Std|ACK Flag Cnt|Bwd Pkts/s|Pkt Len Max|PSH Flag Cnt|Bwd IAT Min|Tot Fwd Pkts|Flow Duration,Dst Port|Init Fwd Win Byts|Fwd IAT Min|Fwd Seg Size Min,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Flow IAT Std|Fwd Pkt Len Mean|Flow Pkts/s|Fwd IAT Std|Bwd Pkt Len Max,38
CHRONOLOGICAL_NATURAL,PRIMARY,BEHAVIOR_ONLY,LightGBM,0.1111111111111111,0.42857142857142855,0.833141321044547,Pkt Len Max|ACK Flag Cnt|Bwd Pkt Len Std|Tot Bwd Pkts|Fwd IAT Tot|Flow IAT Min|Fwd Pkt Len Std|Fwd Pkt Len Mean,Pkt Len Max|ACK Flag Cnt|Bwd Pkt Len Std|Bwd Pkts/s|Fwd Pkts/s|Bwd IAT Min|Tot Fwd Pkts|PSH Flag Cnt,Dst Port|Fwd Header Len|Init Fwd Win Byts|Fwd IAT Min|Flow IAT Std|Flow Pkts/s|Init Bwd Win Byts|Fwd Seg Size Min,Dst Port|Fwd Header Len|Init Fwd Win Byts|Flow IAT Std|Init Bwd Win Byts|Fwd Seg Size Min|Fwd IAT Std|Flow Duration,41
