family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear
DDOS,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.05647558718082903,-0.013458098682309183,0.10505009855639205,-0.1866481289103079,0.06254149515336604,0.24918962406367395,0.14610980496301562
DDOS,LIGHTGBM,SECURITY_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,39987.8,39989.0,12.853015210447703,39974.0,40004.0,30.0,20.0
DDOS,LIGHTGBM,SECURITY_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-7230.4,-1723.0,13449.24896787921,-23896.0,8007.0,31903.0,18706.0
DDOS,LIGHTGBM,STANDARD_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.4859985760206468,0.4858702510481932,0.0014699825363569598,0.484548815906064,0.4875497010793287,0.003000885173264689,0.002870111695092048
DDOS,LIGHTGBM,STANDARD_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-59272.8,-59204.0,227.0742169423909,-59541.0,-59049.0,492.0,398.0
DDOS,LIGHTGBM,STANDARD_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,354.4,354.0,3.9115214431215892,351.0,361.0,10.0,2.0
DDOS,LIGHTGBM,STANDARD_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0007656031058489688,0.0007639102688435881,8.640821861869425e-06,0.0007581671208573837,0.0007803774558968187,2.2210335039435044e-05,3.543508727042971e-06
DDOS,LIGHTGBM,STANDARD_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0021265389651637266,-0.0020942355060419304,0.00010145181780671494,-0.0022647728625436736,-0.0020074851008824446,0.000257287761661229,0.00011625684266713954
DDOS,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.4629710920352738,0.4624337053902693,0.0017736431920015762,0.4612230232685294,0.4650659626485038,0.0038429393799744305,0.0031087192545322107
DDOS,LIGHTGBM,STANDARD_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,39943.6,39944.0,3.911521443121589,39937.0,39947.0,10.0,2.0
