seed,layer,head_a,head_b,cosine_similarity,spearman,top10_jaccard
101,1,1,6,0.08114813890743788,-0.06100953547371182,0.0
101,1,1,7,0.2147152740353082,0.033225439594086255,0.1111111111111111
101,1,1,8,0.24572947431623962,0.20972793281427698,0.17647058823529413
101,1,2,3,0.20152723203849807,0.012299886274166739,0.25
101,1,2,4,0.07559649747395203,0.004391566792056688,0.05263157894736842
101,1,2,5,0.2264505635851131,0.24867465663546495,0.1111111111111111
101,1,2,6,0.8255948535043759,0.30392791531799496,0.05263157894736842
101,1,2,7,0.023314190983377142,-0.1911818738518065,0.05263157894736842
101,1,2,8,0.3319074466688247,0.27330942174787853,0.25
101,1,3,4,0.17463122765275105,0.3537923191321844,0.17647058823529413
101,1,3,5,0.1427561843277041,0.0014171988452453853,0.1111111111111111
101,1,3,6,0.01723525325392916,-0.12186160440906307,0.0
101,1,3,7,0.10444819270190363,0.11643775697664246,0.05263157894736842
101,1,3,8,0.1700160722304983,0.2423410025369609,0.1111111111111111
101,1,4,5,0.13096233739364677,0.0866590849444493,0.0
101,1,4,6,0.04573025138744637,0.02069810165339865,0.05263157894736842
101,1,4,7,0.3929809195183063,0.06814801854605897,0.1111111111111111
101,1,4,8,0.14509610046252489,0.24223602484472048,0.1111111111111111
101,1,5,6,0.07089939279229987,0.08228501443443269,0.1111111111111111
101,1,5,7,0.057985688552692136,-0.1864228851369084,0.1111111111111111
101,1,5,8,0.19452259556003804,0.21235237512028693,0.1111111111111111
101,1,6,7,0.006308235710081212,0.17477036129822413,0.17647058823529413
101,1,6,8,0.2368037484902799,0.12452103927915319,0.17647058823529413
101,1,7,8,0.18994010044149293,-0.03840433907794594,0.1111111111111111
101,2,1,2,0.6610168312612806,0.058140145219140925,0.0
101,2,1,3,0.7938212502718625,0.13057475286501619,0.1111111111111111
101,2,1,4,0.638870831997422,0.27859329892397866,0.25
101,2,1,5,0.7756037937713472,0.24790482022570204,0.17647058823529413
101,2,1,6,0.7558867102001936,0.004706499868777884,0.1111111111111111
101,2,1,7,0.7749461140603681,0.20283439769049078,0.17647058823529413
101,2,1,8,0.7966564484223384,0.17172600822325257,0.17647058823529413
101,2,2,3,0.8333545301763129,0.6388767386930277,0.3333333333333333
101,2,2,4,0.46856417712948406,0.3129559968506692,0.17647058823529413
101,2,2,5,0.8328116331316422,0.43549995625929494,0.3333333333333333
101,2,2,6,0.7544162829921492,0.4187385180649112,0.17647058823529413
101,2,2,7,0.6728617346788472,-0.1801592161665646,0.1111111111111111
101,2,2,8,0.6796230760105438,0.15017058874989067,0.0
101,2,3,4,0.6191726747148365,0.43665471087393926,0.25
101,2,3,5,0.8306370753789444,0.5207418423584989,0.25
101,2,3,6,0.86479428219519,0.4826699326393141,0.05263157894736842
101,2,3,7,0.7468252831950122,-0.13067973055725657,0.0
101,2,3,8,0.8266778727886114,0.3898346601347214,0.05263157894736842
101,2,4,5,0.5072352167664042,0.2682354999562593,0.17647058823529413
101,2,4,6,0.5434978887754259,0.3763625229638702,0.1111111111111111
101,2,4,7,0.4523785788963118,-0.06331904470300062,0.05263157894736842
101,2,4,8,0.5793835798430589,0.4365147406176188,0.17647058823529413
101,2,5,6,0.8501407235463342,0.3847607383431021,0.17647058823529413
101,2,5,7,0.7865720121533626,0.060449654448429715,0.1111111111111111
101,2,5,8,0.7761213178248442,0.23639226664333832,0.05263157894736842
101,2,6,7,0.7787597361673552,-0.18299361385705537,0.17647058823529413
101,2,6,8,0.8497106818556461,0.2107427171726008,0.17647058823529413
101,2,7,8,0.8251497079096184,-0.05191146881287726,0.1111111111111111
101,3,1,2,0.9414436684636368,0.6152217653748578,0.25
