group,case_count,rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation
TRUE_ATTACK,32,9,10,Fwd Pkt Len Std,0.017669231011171887,0.0021203574171590875
TRUE_ATTACK,32,10,59,Init Bwd Win Byts,0.017369697257281037,0.002763259089438513
TRUE_ATTACK,32,11,2,Flow Duration,0.016117057335011783,0.0021878189752329463
TRUE_ATTACK,32,12,50,Down/Up Ratio,0.016086718920965526,0.002219434408899067
TRUE_ATTACK,32,13,52,Fwd Seg Size Avg,0.015764426844947103,0.0005858235516456244
TRUE_ATTACK,32,14,44,RST Flag Cnt,0.015485267303424668,0.0021504689989584884
TRUE_ATTACK,32,15,49,ECE Flag Cnt,0.015421298848178727,0.0036970986253322268
TRUE_ATTACK,32,16,12,Bwd Pkt Len Min,0.015370181526751275,0.0027503947474384993
TRUE_ATTACK,32,17,38,Pkt Len Max,0.015317488785230093,0.002153334069780859
TRUE_ATTACK,32,18,13,Bwd Pkt Len Mean,0.015220842359327863,0.0039948806888844
TRUE_ATTACK,32,19,53,Bwd Seg Size Avg,0.014596783873605232,0.0029092381135086783
TRUE_ATTACK,32,20,40,Pkt Len Std,0.014536132975803395,0.0038014907257886625
TRUE_ATTACK,32,21,51,Pkt Size Avg,0.01443550234323277,0.001709563295413298
TRUE_ATTACK,32,22,45,PSH Flag Cnt,0.014379975255496356,0.0021325723983929216
TRUE_ATTACK,32,23,39,Pkt Len Mean,0.014339153213523064,0.002723550009581207
TRUE_ATTACK,32,24,11,Bwd Pkt Len Max,0.014234808183567656,0.0023894592275264257
TRUE_ATTACK,32,25,36,Bwd Pkts/s,0.014090591294471957,0.0010504359706867265
TRUE_ATTACK,32,26,16,Flow Pkts/s,0.014002818513014438,0.00166973389423079
TRUE_ATTACK,32,27,18,Flow IAT Std,0.013859469540155527,0.001235458468787921
TRUE_ATTACK,32,28,34,Bwd Header Len,0.013613438010143041,0.0022412362966891023
TRUE_ATTACK,32,29,30,Bwd IAT Min,0.013498930500737801,0.003079541750028001
TRUE_ATTACK,32,30,1,Protocol,0.013468037197610153,0.0020616140416265098
TRUE_ATTACK,32,31,19,Flow IAT Max,0.013442724149408171,0.0016306675719251816
TRUE_ATTACK,32,32,26,Bwd IAT Tot,0.013370307773917161,0.0019630814819182503
TRUE_ATTACK,32,33,69,Idle Min,0.013367933257366743,0.0021464664608251416
TRUE_ATTACK,32,34,17,Flow IAT Mean,0.013193672346201423,0.0015497276553688535
TRUE_ATTACK,32,35,5,TotLen Fwd Pkts,0.013058123072114099,0.0010331042435681493
TRUE_ATTACK,32,36,37,Pkt Len Min,0.01297254895432462,0.0014987349643645956
TRUE_ATTACK,32,37,23,Fwd IAT Std,0.012781891078978218,0.0013045431555710131
TRUE_ATTACK,32,38,60,Fwd Act Data Pkts,0.012711912213721062,0.004250122101670544
TRUE_ATTACK,32,39,24,Fwd IAT Max,0.012688497987498134,0.0006890985747118935
TRUE_ATTACK,32,40,43,SYN Flag Cnt,0.012686405555448407,0.0023086560198574005
TRUE_ATTACK,32,41,29,Bwd IAT Max,0.01256115591740506,0.0012228662611260988
TRUE_ATTACK,32,42,15,Flow Byts/s,0.012552185668869783,0.001115997302829554
TRUE_ATTACK,32,43,68,Idle Max,0.012551917704090103,0.0016553319839075751
TRUE_ATTACK,32,44,31,Fwd PSH Flags,0.012550114186455071,0.0011304710507998746
TRUE_ATTACK,32,45,64,Active Max,0.012538014035976555,0.0011346159236242962
TRUE_ATTACK,32,46,22,Fwd IAT Mean,0.012537468394522432,0.0010070622266355345
TRUE_ATTACK,32,47,4,Tot Bwd Pkts,0.012495630247732467,0.0025729395044901716
TRUE_ATTACK,32,48,47,URG Flag Cnt,0.012378654976051909,0.0011209017130683336
TRUE_ATTACK,32,49,20,Flow IAT Min,0.01237246833703234,0.0011889075999437439
TRUE_ATTACK,32,50,33,Fwd Header Len,0.012327388264383664,0.0020461878249338366
TRUE_ATTACK,32,51,63,Active Std,0.012261938653350284,0.0021951503006918155
TRUE_ATTACK,32,52,54,Subflow Fwd Pkts,0.012209487264744929,0.0011692967261298943
TRUE_ATTACK,32,53,28,Bwd IAT Std,0.012109916055954486,0.0012076914076180941
TRUE_ATTACK,32,54,66,Idle Mean,0.012090912083996376,0.00046448503550370143
