cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,actual_fpr,projection_prevalence,ppv_target,required_max_fpr,required_fpr_status,actual_fpr_meets_requirement,verification_ppv
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.1,0.5,0.10941117815072082,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.1,0.75,0.03647039271690694,FINITE,True,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.1,0.9,0.01215679757230231,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.03,0.1,0.27409192052190884,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.03,0.25,0.09136397350730294,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.03,0.5,0.03045465783576765,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.03,0.75,0.010151552611922549,FINITE,True,0.7500000000000001
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.03,0.9,0.003383850870640849,FINITE,False,0.9000000000000001
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.01,0.1,0.08951823666877157,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.01,0.25,0.02983941222292386,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.01,0.5,0.009946470740974619,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.01,0.75,0.00331549024699154,FINITE,False,0.7499999999999999
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.01,0.9,0.0011051634156638464,FINITE,False,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.003,0.1,0.026666917041750407,FINITE,True,0.10000000000000002
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.003,0.25,0.008888972347250137,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.003,0.5,0.0029629907824167126,FINITE,False,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.003,0.75,0.000987663594138904,FINITE,False,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.003,0.9,0.0003292211980463013,FINITE,False,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.001,0.1,0.008871176606815202,FINITE,True,0.09999999999999999
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.001,0.25,0.0029570588689384007,FINITE,False,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.001,0.5,0.0009856862896461336,FINITE,False,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.001,0.75,0.0003285620965487112,FINITE,False,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.001,0.9,0.00010952069884957037,FINITE,False,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.0001,0.1,0.0008863191749383324,FINITE,False,0.09999999999999999
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.0001,0.25,0.00029543972497944414,FINITE,False,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.0001,0.5,9.847990832648138e-05,FINITE,False,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.0001,0.75,3.282663610882713e-05,FINITE,False,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.0001,0.9,1.0942212036275708e-05,FINITE,False,0.8999999999999999
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.1,0.1,3.2125417630429196e-05,FINITE,False,0.1
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.1,0.25,1.07084725434764e-05,FINITE,False,0.25
