cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,fpr,ppv_target,required_prevalence,status,verification_ppv
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.5,0.028408906089979438,FINITE,0.49999999999999994
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.75,0.08064466484921963,FINITE,0.7500000000000001
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.9,0.20833222898076895,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,0.1,0.0017298615752294915,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,0.25,0.005171692102793395,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,0.5,0.015356240809731617,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,0.75,0.044695997429672465,FINITE,0.75
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,0.9,0.12308516394627074,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.1,0.0031106269775410702,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.25,0.009274183879482818,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.5,0.027315886529438258,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.75,0.07770262728822595,FINITE,0.75
