source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,planned_repetitions,pass_repetitions,resource_limit_oom_repetitions,timeout_resource_limit_repetitions,median_baseline_rss_bytes,min_baseline_rss_bytes,max_baseline_rss_bytes,median_loaded_rss_bytes,min_loaded_rss_bytes,max_loaded_rss_bytes,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes,median_delta_model_rss_bytes,min_delta_model_rss_bytes,max_delta_model_rss_bytes,median_delta_peak_rss_bytes,min_delta_peak_rss_bytes,max_delta_peak_rss_bytes,median_ru_maxrss_bytes_descriptive,min_ru_maxrss_bytes_descriptive,max_ru_maxrss_bytes_descriptive
44,CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,366620672.0,366198784.0,366981120.0,376295424.0,375930880.0,376721408.0,416739328.0,414691328.0,423227392.0,9732096.0,9674752.0,9744384.0,49786880.0,48070656.0,56680448.0,1210355712.0,1210355712.0,1210355712.0
45,CPUCOND_014,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,179843072.0,179482624.0,179961856.0,264536064.0,264077312.0,264790016.0,265240576.0,264785920.0,265383936.0,84672512.0,84525056.0,84856832.0,85377024.0,85233664.0,85450752.0,1210355712.0,1210355712.0,1210355712.0
46,CPUCOND_026,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,178348032.0,177995776.0,178991104.0,271216640.0,270852096.0,271851520.0,273608704.0,273264640.0,274247680.0,92856320.0,92680192.0,92868608.0,95256576.0,95109120.0,95268864.0,1210355712.0,1210355712.0,1210355712.0
47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,179019776.0,178700288.0,179134464.0,215158784.0,214917120.0,215248896.0,216281088.0,216035328.0,216367104.0,36139008.0,36085760.0,36225024.0,37261312.0,37199872.0,37343232.0,1210355712.0,1210355712.0,1210355712.0
48,CPUCOND_017,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,178696192.0,178499584.0,178823168.0,264212480.0,263880704.0,264396800.0,264916992.0,264474624.0,265101312.0,85540864.0,85381120.0,85635072.0,86228992.0,85975040.0,86310912.0,1210355712.0,1210355712.0,1210355712.0
49,CPUCOND_009,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,179724288.0,179511296.0,179859456.0,215527424.0,215203840.0,215674880.0,216711168.0,216387584.0,216858624.0,35774464.0,35684352.0,35840000.0,36958208.0,36872192.0,37027840.0,1210355712.0,1210355712.0,1210355712.0
50,CPUCOND_023,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,178851840.0,178548736.0,179310592.0,271671296.0,271175680.0,271929344.0,274550784.0,273981440.0,274776064.0,92647424.0,92618752.0,92844032.0,95518720.0,95432704.0,95748096.0,1210355712.0,1210355712.0,1210355712.0
51,CPUCOND_072,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,366522368.0,366436352.0,366755840.0,373121024.0,373035008.0,373415936.0,408772608.0,407040000.0,408969216.0,6598656.0,6598656.0,6660096.0,42110976.0,40517632.0,42336256.0,1210355712.0,1210355712.0,1210355712.0
52,CPUCOND_062,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,178671616.0,178307072.0,178786304.0,292528128.0,292003840.0,292823040.0,294330368.0,293806080.0,294625280.0,113905664.0,113696768.0,114053120.0,115703808.0,115499008.0,115855360.0,1210355712.0,1210355712.0,1210355712.0
53,CPUCOND_048,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,5,5,0,0,242225152.0,242106368.0,242446336.0,246571008.0,246456320.0,246730752.0,1360240640.0,1358147584.0,1361874944.0,4345856.0,4284416.0,4349952.0,1118134272.0,1115922432.0,1119711232.0,1362616320.0,1362235392.0,1362706432.0
54,CPUCOND_013,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,178761728.0,178593792.0,179453952.0,264216576.0,263327744.0,264613888.0,264925184.0,264036352.0,265318400.0,85213184.0,84733952.0,85577728.0,85917696.0,85442560.0,86282240.0,1210355712.0,1210355712.0,1210355712.0
55,CPUCOND_027,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,178667520.0,178573312.0,178987008.0,271462400.0,271343616.0,271663104.0,274231296.0,274124800.0,274505728.0,92770304.0,92590080.0,92913664.0,95563776.0,95383552.0,95756288.0,1210355712.0,1210355712.0,1210355712.0
56,CPUCOND_031,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,366837760.0,366346240.0,367046656.0,376619008.0,376119296.0,376762368.0,385400832.0,384905216.0,385548288.0,9768960.0,9703424.0,9781248.0,18554880.0,18489344.0,18563072.0,1210355712.0,1210355712.0,1210355712.0
57,CPUCOND_058,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,5,5,0,0,255356928.0,255238144.0,255680512.0,259706880.0,259588096.0,259964928.0,592441344.0,591343616.0,608620544.0,4349952.0,4284416.0,4349952.0,337203200.0,336031744.0,352940032.0,1210355712.0,1210355712.0,1210355712.0
58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,178520064.0,178376704.0,179093504.0,294801408.0,294592512.0,295305216.0,296660992.0,296443904.0,297152512.0,116215808.0,116072448.0,116318208.0,118067200.0,117923840.0,118214656.0,1210355712.0,1210355712.0,1210355712.0
59,CPUCOND_057,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,239886336.0,239656960.0,240001024.0,244170752.0,243994624.0,244285440.0,331857920.0,331616256.0,351588352.0,4284416.0,4284416.0,4354048.0,91967488.0,91901952.0,111931392.0,1210355712.0,1210355712.0,1210355712.0
60,CPUCOND_065,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,185479168.0,185184256.0,185597952.0,300761088.0,300380160.0,300851200.0,302567424.0,302186496.0,302657536.0,115253248.0,114987008.0,115367936.0,117059584.0,116793344.0,117198848.0,1210355712.0,1210355712.0,1210355712.0
61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,5,0,0,366505984.0,366243840.0,366944256.0,373075968.0,372822016.0,373448704.0,478748672.0,474038272.0,496115712.0,6578176.0,6504448.0,6582272.0,112193536.0,107532288.0,129871872.0,1210355712.0,1210355712.0,1210355712.0
62,CPUCOND_008,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,5,0,0,178987008.0,178819072.0,179077120.0,215134208.0,214990848.0,215302144.0,216322048.0,216223744.0,216485888.0,36147200.0,36147200.0,36306944.0,37380096.0,37335040.0,37494784.0,1210355712.0,1210355712.0,1210355712.0
