threshold,seed_count,mean_accuracy,accuracy_std,minimum_accuracy,mean_precision,precision_std,minimum_precision,mean_recall,recall_std,minimum_recall,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,minimum_f2,mean_fpr,fpr_std,maximum_fpr,mean_fnr,fnr_std,maximum_fnr,distance_to_seed_optimum_mean,distance_to_seed_optimum_median
0.26,5,0.7592388000528609,0.016557190382655337,0.7408748513281354,0.5436354194308167,0.018964203797428934,0.5229173118612573,0.9346988402543959,0.008596783596563224,0.9252712308267864,0.6872125551600339,0.013362560829165347,0.6739173817601277,0.7061333333333334,0.8168896953674561,0.005384466385933095,0.8100703563207212,0.30987731643517663,0.0258377265107127,0.34052978668533324,0.06530115974560419,0.008596783596563249,0.07472876917321362,0.41500000000000004,0.41500000000000004
0.265,5,0.7699378881987577,0.02051001261559132,0.7499933923615699,0.5568193059112985,0.02562049237023667,0.5329344516266895,0.9277964833520389,0.01142399973372978,0.9122708567153012,0.6955261441355272,0.016783966066844694,0.6783856380265888,0.7208365665299485,0.8182591260797107,0.004873081752847417,0.8112283897409208,0.292244777659065,0.03281598614769213,0.32266145967652804,0.0722035166479611,0.011423999733729782,0.08772914328469884,0.41000000000000003,0.41000000000000003
0.27,5,0.7812290207479846,0.024518968115839073,0.7536936698823841,0.5717602547587775,0.032718214227479114,0.5371141266151268,0.9202394313505424,0.013498084181390287,0.900860456416012,0.7046283319591485,0.020805506012169152,0.68073589365857,0.73495860516577,0.819579187065098,0.005650621134352236,0.810821839549498,0.27352908668901743,0.0392452968140399,0.31544044505028923,0.07976056864945755,0.01349808418139029,0.09913954358398804,0.405,0.405
0.275,5,0.800533897185146,0.03137643714737376,0.7634994053125413,0.6004025265186819,0.04727312428060717,0.5484552122693932,0.9069023569023569,0.017824434630615917,0.8837448559670782,0.7211707406624573,0.028315116316740337,0.6880925822643614,0.7615555107797702,0.8216472339496106,0.006577605993446162,0.8121585149101441,0.24136609807316806,0.05057379095471487,0.2993773716980437,0.0930976430976431,0.01782443463061593,0.11625514403292181,0.4,0.4
0.28,5,0.8254103343465046,0.034429956371581666,0.782370820668693,0.6424541484492017,0.06144113223983268,0.5718713450292398,0.89006734006734,0.021615624528359106,0.8630751964085297,0.7441930080761997,0.033529803435970895,0.703727691421992,0.7914915515910455,0.8245796921702334,0.005817533457931351,0.8167134362263646,0.20005894705817337,0.05641080991782481,0.26971963305456287,0.10993265993265992,0.02161562452835908,0.13692480359147025,0.395,0.395
0.285,5,0.8461160301308313,0.03549425277531206,0.8025373331571296,0.6830814632481452,0.07068559136902568,0.6002365096159831,0.8763000374111485,0.023959898440993808,0.8539094650205762,0.7651312217270511,0.03638689835215508,0.7208042154041631,0.8053194768593949,0.8272640181957176,0.005605256611627779,0.8195801818645364,0.1657738643480824,0.058759202424650714,0.23663559665475445,0.12369996258885148,0.023959898440993825,0.14609053497942387,0.39000000000000007,0.39000000000000007
0.29,5,0.8532364213030263,0.03470001758765466,0.808669221620193,0.6984757823482488,0.07183724091648906,0.6095842589654078,0.8703703703703705,0.024036026054177675,0.847830153385709,0.7723825938297427,0.036189710153878486,0.7262827541876206,0.8061769247738805,0.8274415064257015,0.005305644958856311,0.8205320984911915,0.15351287624801974,0.05767405831806616,0.22661459676528017,0.12962962962962962,0.02403602605417769,0.15216984661429106,0.38500000000000006,0.38500000000000006
0.295,5,0.8616889123827145,0.028623844285186283,0.8160433461081009,0.7152302311506291,0.06121293351705706,0.6214211348256117,0.8642536475869809,0.01995879076080253,0.847268986157875,0.7808594726250322,0.030398902554222115,0.7329240214888718,0.8068919814446653,0.8282288997805342,0.004954487579515093,0.8213499380762351,0.139321371992779,0.047531824351013975,0.21434624028294588,0.13574635241301908,0.019958790760802536,0.15273101384212495,0.38000000000000006,0.38000000000000006
0.3,5,0.8711669089467424,0.02297530973618566,0.8327738866129245,0.7363417795730456,0.05302286862417751,0.6509440486893976,0.8576692854470632,0.01620077141384704,0.8391320613542835,0.7910761116987967,0.025487750487436272,0.7484394258677588,0.8094550703717069,0.8293177573999696,0.004851968243889103,0.8223391056669054,0.123516192020042,0.03806173862561651,0.18594112662564935,0.14233071455293678,0.016200771413847032,0.1608679386457164,0.37500000000000006,0.37500000000000006
0.305,5,0.8778221223734637,0.015357000104167707,0.851037399233514,0.7513640625960651,0.037732629802122844,0.6871760698948616,0.8528806584362141,0.011219641800973717,0.8381967826412271,0.7982786566259861,0.017774395991173884,0.7670881891065378,0.8101975319802921,0.8299778892009634,0.004369612961420378,0.8246259373778299,0.11235309287845854,0.025331132983578083,0.15565707548907637,0.147119341563786,0.01121964180097373,0.16180321735877293,0.37000000000000005,0.37000000000000005
