Operating Point Key,Model,Objective,Threshold,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,Precision,0.9290071162317859,0.928995943590124,0.9290037262539645,0.0015747368874517746,0.9259255348108097,0.9319919935523372,0.006066458741527447,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,Recall,0.90680559001075,0.9067703010005788,0.9067642437773918,0.001847664370477196,0.9032498139419499,0.9104440585462664,0.007194244604316502,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,F1-score,0.9177721052851823,0.9177470946787628,0.9177690002111176,0.0012657226684145732,0.9152483485900788,0.9201750222085019,0.0049266736184231386,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,F2-score,0.9111605955862802,0.9111290132233016,0.9111666486942385,0.0015463098416871812,0.9081759456715971,0.9142087982319154,0.006032852560318269,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,FPR,0.04655555555555556,0.04656333333333333,0.04655555555555556,0.0011082297557519554,0.044472222222222225,0.04875,0.004277777777777776,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,FNR,0.09319440998924998,0.09322969899942116,0.09323575622260812,0.001847664370477196,0.08955594145373356,0.09675018605805011,0.007194244604316544,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,Specificity,0.9534444444444444,0.9534366666666666,0.9534444444444444,0.0011082297557519563,0.95125,0.9555277777777778,0.004277777777777714,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,ROC-AUC,0.9802072525887335,0.9801947535353902,0.9802029563131105,0.0004724037881832939,0.9792627346542307,0.98113708253225,0.0018743478780192113,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,PR-AUC,0.9776909621341594,0.9776789595238382,0.9776901451176783,0.0005023635071271859,0.9767133096140551,0.9786770956384034,0.001963786024348324,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,TP,21932.0,21931.1465,21931.0,44.68761046436145,21846.0,22020.0,174.0,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,TN,34324.0,34323.72,34324.0,39.89627120707039,34245.0,34399.0,154.0,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,FP,1676.0,1676.28,1676.0,39.89627120707039,1601.0,1755.0,154.0,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,FN,2254.0,2254.8535,2255.0,44.687610464361455,2166.0,2340.0,174.0,2000
