model,model_display,selected_outcome,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,outcome_absolute_rank
cnn,CNN,FP,55,Bwd Seg Size Avg,8,0.17244360804014805,0.41003080432176753,0.4372976852375035,0.6235652323413433,2,0.25,0.75,0.6484375,16
cnn,CNN,FP,9,Fwd Pkt Len Mean,8,0.3454451834810596,0.35992766266270143,0.36871560306964396,0.6555810506086052,1,0.125,0.875,0.70703125,17
cnn,CNN,FP,14,Bwd Pkt Len Std,8,-0.35772222314693763,0.35772222314693763,0.40490884237195235,0.4974641954542545,2,0.25,0.0,0.4453125,18
cnn,CNN,FP,47,PSH Flag Cnt,8,-0.03032618315984774,0.35173952729403796,0.17495670097323268,1.0271112175413242,2,0.25,0.625,0.62109375,19
cnn,CNN,FP,24,Fwd IAT Max,8,0.05272451671454173,0.35012666034087914,0.3191424322078557,0.5513237100896383,0,0.0,0.625,0.796875,20
cnn,CNN,FP,54,Fwd Seg Size Avg,8,0.3467839361845141,0.3501082375281281,0.390712253909998,0.7855338286289747,2,0.25,0.875,0.71875,21
cnn,CNN,FP,52,Down/Up Ratio,8,0.3480880062012908,0.3480880062012908,0.32228497229831,0.6738603660914539,2,0.25,1.0,0.61328125,22
cnn,CNN,FP,20,Flow IAT Min,8,-0.02789597615655043,0.34374542223606963,0.275545815846015,1.1556653816705262,2,0.25,0.25,0.6328125,23
cnn,CNN,FP,42,Pkt Len Std,8,-0.034079168926788056,0.33851762406807956,0.24002207799022035,1.0606331149547925,2,0.25,0.25,0.57421875,24
cnn,CNN,FP,0,Dst Port,8,0.31197499492267566,0.31197499492267566,0.2410531754797469,0.7736605450120725,0,0.0,1.0,0.54296875,25
cnn,CNN,FP,67,Init Bwd Win Byts,8,0.22303537331582168,0.30427858276766834,0.24101716900995454,0.7017590959273257,0,0.0,0.75,0.55078125,26
cnn,CNN,FP,41,Pkt Len Mean,8,0.20391618940093917,0.29712859474781356,0.10012449180688063,1.0297812542613667,2,0.25,0.75,0.62890625,27
