model,model_display,case_id,baseline_id,baseline_display,integration_steps,reference_steps,signed_cosine_to_reference,absolute_cosine_to_reference,top10_jaccard_to_reference,maximum_absolute_attribution_difference,mean_absolute_attribution_difference
cnn,CNN,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,64,128,0.9999908086406275,0.9999908086406275,1.0,0.021684891550113772,0.0014837133224992853
cnn,CNN,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_03,benign_median,Benign training median,16,128,0.9999609686513149,0.9999609686513149,1.0,0.09527878905140241,0.0027998039804382805
cnn,CNN,NEURAL_DISAGREE_03,benign_median,Benign training median,32,128,0.9999908668790645,0.9999908668790645,1.0,0.010778229444927012,0.0008441843328981876
cnn,CNN,NEURAL_DISAGREE_03,benign_median,Benign training median,64,128,0.9999991165028377,0.9999991165028377,1.0,0.017798980191864544,0.0005936433527082414
cnn,CNN,NEURAL_DISAGREE_03,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9984827270821304,0.9984827270821304,1.0,0.30190117720578336,0.01070336734527156
cnn,CNN,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9997964794535615,0.9997964794535615,1.0,0.10968926315633487,0.004212432514704194
cnn,CNN,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,64,128,0.999977026472305,0.999977026472305,1.0,0.032831728540992255,0.0013880051031800343
cnn,CNN,NEURAL_DISAGREE_03,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_04,zero_scaled,Zero standardized vector,16,128,0.9997968023914713,0.9997968023914713,1.0,0.11544942310394957,0.006454352427394098
cnn,CNN,NEURAL_DISAGREE_04,zero_scaled,Zero standardized vector,32,128,0.9999746729744569,0.9999746729744569,1.0,0.026183850478276316,0.0027213887770485786
cnn,CNN,NEURAL_DISAGREE_04,zero_scaled,Zero standardized vector,64,128,0.9999960200066366,0.9999960200066366,1.0,0.018053159022335397,0.0012895024859694685
cnn,CNN,NEURAL_DISAGREE_04,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_04,benign_median,Benign training median,16,128,0.9999851199080435,0.9999851199080435,1.0,0.027912323510904002,0.0012643684316917987
cnn,CNN,NEURAL_DISAGREE_04,benign_median,Benign training median,32,128,0.9999967372111227,0.9999967372111227,1.0,0.02434870666252742,0.0008213216802178919
cnn,CNN,NEURAL_DISAGREE_04,benign_median,Benign training median,64,128,0.999998982180593,0.999998982180593,1.0,0.014005174616654514,0.0004286540553355568
cnn,CNN,NEURAL_DISAGREE_04,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_04,benign_reference_32,Mean IG over 32 benign training references,16,128,0.998703861677157,0.998703861677157,1.0,0.2973656883533464,0.010207815412267134
cnn,CNN,NEURAL_DISAGREE_04,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9998301696537044,0.9998301696537044,1.0,0.1149804150805096,0.0043074089488968886
cnn,CNN,NEURAL_DISAGREE_04,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999791643524082,0.9999791643524082,1.0,0.03645138715896046,0.0013736995272822425
cnn,CNN,NEURAL_DISAGREE_04,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_05,zero_scaled,Zero standardized vector,16,128,0.9999533005945067,0.9999533005945067,1.0,0.05379503031896071,0.005567038781094338
cnn,CNN,NEURAL_DISAGREE_05,zero_scaled,Zero standardized vector,32,128,0.9999845493324752,0.9999845493324752,1.0,0.015467791495289318,0.002137742028636739
cnn,CNN,NEURAL_DISAGREE_05,zero_scaled,Zero standardized vector,64,128,0.9999991991305726,0.9999991991305726,1.0,0.0033129552367086035,0.0005075806334015586
cnn,CNN,NEURAL_DISAGREE_05,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_05,benign_median,Benign training median,16,128,0.9992315218025896,0.9992315218025896,1.0,0.23044448777806203,0.005799100792170146
cnn,CNN,NEURAL_DISAGREE_05,benign_median,Benign training median,32,128,0.999976000215703,0.999976000215703,1.0,0.026674153638170495,0.0018042172974781874
cnn,CNN,NEURAL_DISAGREE_05,benign_median,Benign training median,64,128,0.9999714201215949,0.9999714201215949,1.0,0.041138466835785925,0.001150178154477755
cnn,CNN,NEURAL_DISAGREE_05,benign_median,Benign training median,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_05,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9997112269568564,0.9997112374076235,1.0,0.046836705987280916,0.0062148623810809695
cnn,CNN,NEURAL_DISAGREE_05,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999182986153456,0.9999182986153456,1.0,0.03421931060126299,0.0025794877204635366
cnn,CNN,NEURAL_DISAGREE_05,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999966485566942,0.9999966485566942,1.0,0.004213277526964543,0.0007029931148547753
cnn,CNN,NEURAL_DISAGREE_05,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_06,zero_scaled,Zero standardized vector,16,128,0.9997537018443945,0.9997537018443945,1.0,0.11532038395224387,0.009046673075724964
cnn,CNN,NEURAL_DISAGREE_06,zero_scaled,Zero standardized vector,32,128,0.9999551417191589,0.9999551417191589,1.0,0.04501092564871634,0.004079931833851493
cnn,CNN,NEURAL_DISAGREE_06,zero_scaled,Zero standardized vector,64,128,0.9999911392280153,0.9999911392280153,1.0,0.021265571313775045,0.0016471311742702493
cnn,CNN,NEURAL_DISAGREE_06,zero_scaled,Zero standardized vector,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_06,benign_median,Benign training median,16,128,0.9998827773485229,0.9998827773512453,1.0,0.11308622974620164,0.0023121001222214978
cnn,CNN,NEURAL_DISAGREE_06,benign_median,Benign training median,32,128,0.9999922818787419,0.9999922818787419,1.0,0.008443780095812592,0.000674932857846762
cnn,CNN,NEURAL_DISAGREE_06,benign_median,Benign training median,64,128,0.9999992336982508,0.9999992336982508,1.0,0.002540454975154427,0.00020545084707430667
cnn,CNN,NEURAL_DISAGREE_06,benign_median,Benign training median,128,128,1.0000000000000002,1.0000000000000002,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_06,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9996970067576384,0.9996970067576384,1.0,0.06599201360644025,0.006092352875785521
cnn,CNN,NEURAL_DISAGREE_06,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999438844636903,0.9999438844636903,1.0,0.02997417304092065,0.0029732332214770373
cnn,CNN,NEURAL_DISAGREE_06,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999946316187919,0.9999946316187919,1.0,0.009130349754361777,0.0008594510279830281
