model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,input_probability,input_logit,baseline_id,baseline_display,semantic_role,baseline_count,baseline_mean_logit,target_logit_difference,integration_method,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,26.636929512023926,Trapezoidal rule,16,27.68837624032568,1.0514467283017552,1.0514467283017552,0.03947327066459111,False,78.28898097637976,24.210531009055682
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,26.636929512023926,Trapezoidal rule,32,26.727622569171213,0.0906930571472877,0.0906930571472877,0.003404786467837774,False,77.5814982386245,23.989931080386665
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,26.636929512023926,Trapezoidal rule,64,26.377836762360026,-0.2590927496638997,0.2590927496638997,0.009726824916022888,False,77.16257128404207,23.877290992007772
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,zero_scaled,Zero standardized vector,Sensitivity control only,1,-20.17304229736328,26.636929512023926,Trapezoidal rule,128,26.536045766553325,-0.10088374547060042,0.10088374547060042,0.0037873639086314897,False,77.55273763968935,23.993512296269387
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,9.516948699951172,Trapezoidal rule,16,9.257653234718521,-0.25929546523265046,0.25929546523265046,0.027245651248911408,False,71.20899223097712,25.617008377440506
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,9.516948699951172,Trapezoidal rule,32,9.253216645966784,-0.2637320539843877,0.2637320539843877,0.027711828895929724,False,71.22094382617983,25.619453472201826
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,9.516948699951172,Trapezoidal rule,64,9.418293653238077,-0.09865504671309466,0.09865504671309466,0.010366247609761816,False,71.55839888587815,25.709416951151898
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.0530614852905273,9.516948699951172,Trapezoidal rule,128,9.413639442945296,-0.10330925700587557,0.10330925700587557,0.010855291991476806,False,71.67306256383333,25.744696317016935
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,11.683411473408341,Trapezoidal rule,16,11.694432191084177,0.011020717675835456,0.011020717675835456,0.0009432790842742133,True,47.2254832159422,13.474808877990577
cnn,CNN,NEURAL_DISAGREE_01,55861,52553,0,Benign,0.9984436631202698,6.4638872146606445,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.219524258747697,11.683411473408341,Trapezoidal rule,32,11.766723453370625,0.0833119799622839,0.0833119799622839,0.00713079224778683,False,47.271775826288646,13.466686748787051
