model,model_display,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,global_absolute_rank
mlp,MLP,8,Fwd Pkt Len Min,32,-0.03576923090083012,0.05554278867246546,0.03297405975817237,0.21671073013656672,0,0.0,0.53125,0.8623046875,49
mlp,MLP,39,Pkt Len Min,32,-0.017207927059198103,0.05130304303564598,0.04407065797866272,0.21029427919394483,0,0.0,0.4375,0.8310546875,50
mlp,MLP,70,Active Mean,32,0.02971677978817147,0.02990445549405025,0.0012470617142167585,0.2350493223815763,0,0.0,0.875,0.8515625,51
mlp,MLP,72,Active Max,32,-0.009107462480914218,0.025478369829213417,0.00937268956002963,0.23284705821335253,0,0.0,0.1875,0.8564453125,52
mlp,MLP,75,Idle Std,32,0.022174956407450437,0.024771931964255738,0.0009124882936750252,0.7346311105839874,1,0.03125,0.375,0.8447265625,53
mlp,MLP,36,Bwd Header Len,32,0.013092023632872476,0.02159275031960426,0.00482497289190152,0.09882261531868158,0,0.0,0.59375,0.6240234375,54
mlp,MLP,15,Flow Byts/s,32,0.012897518684551119,0.02043840602494547,0.01827788064250349,0.10402545738864569,0,0.0,0.9375,0.666015625,55
mlp,MLP,4,Tot Bwd Pkts,32,0.010278128283725908,0.011945592699188445,0.006940647132953469,0.04752206861133457,0,0.0,0.8125,0.6123046875,56
mlp,MLP,71,Active Std,32,0.008590832567369616,0.008635785499503222,0.007341880113367533,0.02468274446993913,0,0.0,0.96875,0.86328125,57
mlp,MLP,73,Active Min,32,-0.0012139588647110582,0.007496269305358843,0.00026341918017877986,0.13448856679973464,0,0.0,0.34375,0.833984375,58
mlp,MLP,64,Subflow Bwd Pkts,32,-0.0011173817710746744,0.0071739149182004185,0.001654039937493029,0.03945730384590125,0,0.0,0.5,0.615234375,59
mlp,MLP,30,Bwd IAT Min,32,0.0061530768847764036,0.0066999463645619,0.0027316410762802503,0.050738240527148384,0,0.0,0.875,0.583984375,60
mlp,MLP,6,TotLen Bwd Pkts,32,-0.00352039076085712,0.003848891017529683,0.0011663019294550114,0.016481078265003137,0,0.0,0.0625,0.6123046875,61
mlp,MLP,49,URG Flag Cnt,32,0.002828395396784372,0.002828395396784372,0.0,0.05273370502099203,1,0.03125,0.0625,0.982421875,62
mlp,MLP,65,Subflow Bwd Byts,32,-0.0022316742665521526,0.00251857342887703,0.0012668005533179078,0.009174312760921035,0,0.0,0.1875,0.666015625,63
mlp,MLP,5,TotLen Fwd Pkts,32,-0.001288816399471235,0.0015610606085641639,0.0007675303513737385,0.006294104146335019,0,0.0,0.25,0.6455078125,64
mlp,MLP,63,Subflow Fwd Byts,32,0.0002754167840154155,0.0006311943417345971,0.000527082392797386,0.0019024904420134783,0,0.0,0.6875,0.607421875,65
mlp,MLP,3,Tot Fwd Pkts,32,-0.00023906577310603836,0.0002671157562512422,0.0002135788223542102,0.0006912680011628859,0,0.0,0.09375,0.6787109375,66
mlp,MLP,35,Fwd Header Len,32,0.0001733504551699539,0.00024358975753747885,0.00019247670574685063,0.0008848773040999164,0,0.0,0.78125,0.6103515625,67
mlp,MLP,62,Subflow Fwd Pkts,32,6.150391541622997e-06,0.00022727409782585394,0.00018322070686402044,0.0008771037783348371,0,0.0,0.625,0.623046875,68
mlp,MLP,68,Fwd Act Data Pkts,32,2.8616633793646612e-05,6.764532426481969e-05,4.582004363618133e-05,0.00029579186930811193,0,0.0,0.59375,0.5859375,69
mlp,MLP,32,Bwd PSH Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,70
mlp,MLP,34,Bwd URG Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,71
mlp,MLP,44,FIN Flag Cnt,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,72
mlp,MLP,56,Fwd Byts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,73
mlp,MLP,57,Fwd Pkts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,74
mlp,MLP,58,Fwd Blk Rate Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,75
mlp,MLP,59,Bwd Byts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,76
mlp,MLP,60,Bwd Pkts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,77
mlp,MLP,61,Bwd Blk Rate Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,78
