case_id,model,model_display,selected_outcome,reference_number,reference_original_row_index,reference_probability,reference_logit,target_logit_difference,attribution_sum,absolute_completeness_error,signed_cosine_to_mean_attribution,top10_jaccard_to_mean_attribution,top10_sign_agreement_with_mean
CNN_FP_06,cnn,CNN,FP,30,264007,9.488304203841835e-05,-9.262770652770996,11.511320114135742,11.553712686284666,0.042392572148923335,0.14288478561978543,0.25,0.4
CNN_FP_06,cnn,CNN,FP,31,265049,0.09861952811479568,-2.212658166885376,4.461207628250122,4.506821846033694,0.04561421778357211,0.4187587387950071,0.3333333333333333,0.6
CNN_FP_06,cnn,CNN,FP,32,45738,0.04951528087258339,-2.95469069480896,5.203240156173706,5.18547831026963,0.017761845904075813,0.3866563718009342,0.17647058823529413,0.5
CNN_FP_07,cnn,CNN,FP,1,276817,0.0011331631103530526,-6.781608581542969,10.4706449508667,10.470537061974984,0.0001078888917156462,0.6084630805396601,0.17647058823529413,0.3
CNN_FP_07,cnn,CNN,FP,2,214177,0.10486417263746262,-2.1443095207214355,5.833345890045166,5.870262965267413,0.036917075222246964,0.7426167111638748,0.25,0.7
CNN_FP_07,cnn,CNN,FP,3,271605,0.029957886785268784,-3.4775469303131104,7.166583299636841,7.222921965305318,0.056338665668477006,0.7422998259103407,0.17647058823529413,0.3
CNN_FP_07,cnn,CNN,FP,4,284786,3.0974788387538865e-05,-10.382306098937988,14.071342468261719,14.091558766239284,0.020216297977565745,0.8098648811830317,0.42857142857142855,0.6
CNN_FP_07,cnn,CNN,FP,5,278772,0.15003538131713867,-1.7343236207962036,5.423359990119934,5.370348854523869,0.05301113559606474,0.8531314332058603,0.25,0.6
CNN_FP_07,cnn,CNN,FP,6,65755,0.0447944775223732,-3.0598416328430176,6.748878002166748,6.696919248061196,0.051958754105552174,0.7858280968886522,0.42857142857142855,0.7
CNN_FP_07,cnn,CNN,FP,7,262731,8.94562472240068e-05,-9.321671485900879,13.01070785522461,13.05339901777506,0.04269116255045091,0.6304764852793682,0.5384615384615384,0.9
CNN_FP_07,cnn,CNN,FP,8,21449,0.055750586092472076,-2.8295023441314697,6.5185387134552,6.443849868571435,0.07468884488376482,0.8440845343229452,0.6666666666666666,0.9
CNN_FP_07,cnn,CNN,FP,9,198454,2.520293855923228e-05,-10.58852481842041,14.27756118774414,14.288685379187916,0.011124191443775189,0.6487583615674651,0.5384615384615384,0.7
CNN_FP_07,cnn,CNN,FP,10,295346,5.769411291112192e-05,-9.760297775268555,13.449334144592285,13.553094678024047,0.10376053343176217,0.6439412950374689,0.5384615384615384,0.7
