condition_id,target_id,comparison_group,hardware_mode,thread_count,batch_size,status,n,p50_point_ms,historical_p50_ci_low_ms,historical_p50_ci_high_ms,corrected_p50_ci_low_ms,corrected_p50_ci_high_ms,p95_point_ms,historical_p95_ci_low_ms,historical_p95_ci_high_ms,corrected_p95_ci_low_ms,corrected_p95_ci_high_ms,p99_point_ms_if_n_gte_100,historical_p99_ci_low_ms_if_n_gte_100,historical_p99_ci_high_ms_if_n_gte_100,corrected_p99_ci_low_ms_if_n_gte_100,corrected_p99_ci_high_ms_if_n_gte_100,median_throughput_point,historical_median_throughput_ci_low,historical_median_throughput_ci_high,corrected_median_throughput_ci_low,corrected_median_throughput_ci_high,historical_ci_status,corrected_ci_status
CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,PASS,100,1725.547919,1706.652321,1738.427659,1706.673759,1738.427659,1799.1141565,1780.0374129999998,1810.027492,1780.1943519499998,1810.027492,1817.941622,1799.1471683,1837.464818,1799.19455009,1837.464818,148.3588442472987,147.2595069887806,149.99937665298103,147.2595069887806,149.99937665298103,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_034,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,PASS,50,8014.44269,7974.008739,8072.963238,7974.008739,8066.879318,8281.73527095,8183.929926,8337.6961565,8181.7322785,8337.6961565,,,,,,127.7693591617391,126.93880243319143,128.41741125255447,126.93880243319143,128.41721567117534,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_035,,,,,,TIMEOUT_RESOURCE_LIMIT,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_NON_PASS,NOT_APPLICABLE_NON_PASS
CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,PASS,200,8.549405,8.3704019,8.76821,8.370479,8.768243374999999,10.77292655,10.052432499999993,11.41695,10.039072549999998,11.41695,12.022796799999991,11.312055999999986,13.38363,11.32017,13.38363,116.9673502518223,114.04838376704964,119.46842770438643,114.04795050563797,119.46747611456883,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,PASS,150,247.79952350000002,245.1426985,250.364283,245.191174,250.674583,281.6069055,274.3796024999999,305.65209049999993,274.3796024999999,305.65209049999993,312.90637100999993,283.88148751,317.503771,283.88148751,317.503771,258.2733728090253,255.46930144591926,261.2026769607795,255.31108592688872,261.02081472149564,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_038,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,PASS,100,924.4779960000001,913.257347,931.449805,913.346504025,931.4562847625,1017.0431605,974.4571675,1023.1010559999999,974.66563645,1023.1010559999999,1052.9646587900002,1017.07258849,1078.537922,1017.0344114,1078.537922,276.91302687464923,274.84036029187854,280.3157124998977,274.83845325754396,280.28880015639635,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,PASS,50,4705.968333,4656.659839,4744.130264,4656.8472973749995,4744.130264,8359.608535749992,4830.3740015,10113.03378115,4824.394352,10113.03378115,,,,,,217.597014893922,215.84567518527987,219.81622610455355,215.84567518527987,219.89134868507165,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_040,,,,,,TIMEOUT_RESOURCE_LIMIT,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_NON_PASS,NOT_APPLICABLE_NON_PASS
CPUCOND_041,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,PASS,200,7.5736545,7.5002495,7.63228,7.50146,7.63203,9.532039499999998,8.768202374999998,9.910699,8.779499999999993,9.922140499999992,10.681361889999996,9.8130536,12.10229,9.83482342974998,12.10229,132.03665745731684,130.9894005050449,133.30738282947587,131.02673876714326,133.30738282947587,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_042,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,PASS,150,1081.205047,1078.895397,1085.392372,1078.895312875,1085.737132,1122.7371835,1111.1175812875001,1129.804461,1111.174555,1128.2057014499999,1138.1144252,1125.6284125,1213.556338,1125.6284125,1213.556338,59.19321350856008,58.964857417609004,59.31616781013781,58.946128039397294,59.31993515670892,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_043,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,PASS,100,4580.802071,4566.676604,4590.8601535,4566.676604,4590.8601535,4987.9483890500005,4670.31375225,5184.457397149998,4670.9842428824995,5184.457397149998,5854.8477214600125,4987.136701862752,8216.654137,4986.126764600001,8216.654137,55.88540974266916,55.76444352161455,56.05834006326144,55.76297068936387,56.05827217451021,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_044,,,,,,TIMEOUT_RESOURCE_LIMIT,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_NON_PASS,NOT_APPLICABLE_NON_PASS
CPUCOND_045,,,,,,RESOURCE_LIMIT_OOM,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_NON_PASS,NOT_APPLICABLE_NON_PASS
CPUCOND_046,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,PASS,200,8.7756045,8.69654,8.88193,8.69654,8.88417575,10.996530499999999,10.342730499999996,11.41073,10.331719549999995,11.41073,11.99431539999999,11.309389,14.36593,11.244944799999983,14.36593,113.95265342023463,112.58852272599331,115.08650942961268,112.55981935099408,114.98825969868476,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_047,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,PASS,150,658.524848,650.6262501375,674.598763375,650.628053,674.638012,874.5717144999999,851.1705775,890.955506,852.028048,890.5511139500001,908.8217726999999,879.7801919,916.689896,879.7801919,916.689896,97.18693788054995,95.06768566340199,98.39659033185887,94.86568924610197,98.36649327507554,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_048,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,PASS,100,2845.3492054999997,2830.739620125,2864.252780475,2830.753225,2864.243951,3036.8875554499996,2965.95271105,3130.06361405,2965.95271105,3130.06361405,3136.97859779,3035.8906926477503,3148.750766,3035.89961648,3148.750766,89.97138566395915,89.37786179512472,90.37388410741136,89.37786179512472,90.43536465863997,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_049,,,,,,TIMEOUT_RESOURCE_LIMIT,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_NON_PASS,NOT_APPLICABLE_NON_PASS
CPUCOND_050,,,,,,RESOURCE_LIMIT_OOM,,,,,,,,,,,,,,,,,,,,,,NOT_APPLICABLE_NON_PASS,NOT_APPLICABLE_NON_PASS
CPUCOND_051,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,PASS,200,1.9178600000000001,1.909275,1.9311355,1.9088088875,1.9300736375,2.1051984999999998,2.0715240749999992,2.190239,2.07433,2.18989,2.5322494999999994,2.1696387525,2.996,2.145298099999996,2.996,521.4145194484133,517.7800856636912,523.8758378886373,518.1149615199995,523.8869169240758,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
