execution_order,target_id,repetition,hardware_mode,thread_count,affinity,batch_size,environment_cpu_percent,environment_available_ram_gib,environment_attempt_count,process_spawn_to_worker_ready_ns,framework_import_ns,input_preparation_ns,model_deserialization_load_ns,first_prediction_ns,spawn_to_first_output_ns,parent_process_total_ns,output_sha256,status,holdout_accessed,memory_profiled,gpu_used
11,STAGE16_XGBOOST_TUNED,12,CPU_1_PHYSICAL_CORE,1,0,1,0.0,29.563644409179688,1,69357237,1046918150,688180,23296929,2450890,1142712476,1333033749,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
12,ENS_LGBM_XGB_EQUAL,15,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.567577362060547,1,75526367,1947549963,591479,81738937,5595820,2111003487,2526385491,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
13,STAGE20_MASKED_CNN_V1,13,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.502758026123047,1,73220667,1285806560,5375359,5590291,12718140,1382712426,1760628231,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
14,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,20,CPU_1_PHYSICAL_CORE,1,0,1,1.3,29.529067993164062,1,91911056,1297925539,5652790,95930466,9814880,1501235851,1896749625,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
15,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,6,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.51858139038086,1,74407647,1286188999,5438210,22145959,3176220,1391358175,1781632929,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
16,ENS_LGBM_XGB_EQUAL,8,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.53696060180664,1,72321836,1918633774,592850,81700967,4921940,2078172668,2524640570,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
17,STAGE20_MASKED_CNN_V1,3,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.492328643798828,1,74690987,1287004659,6822409,5929300,12804830,1387253156,1762307891,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
18,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,9,CPU_1_PHYSICAL_CORE,1,0,1,0.8,29.52822494506836,1,84118596,1271199590,5144460,24367269,3054190,1387884965,1792529179,9103db5b8452f6a360b09e0ea2fdc21d41ebe0d19c034a50b0964c45c0546300,PASS,False,False,False
19,STAGE20_MASKED_CNN_V1,18,CPU_1_PHYSICAL_CORE,1,0,1,0.5,29.532127380371094,1,79374007,1284054811,5839800,5617669,12671549,1387558818,1751971884,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
20,STAGE20_MASKED_CNN_V1,2,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.528636932373047,1,72817787,1285286093,5966810,5839690,13324080,1383235379,1815206772,0a4ea6d2334c1615b81d51f380d927aa359f659a1865c74d5795f602f6c9f79d,PASS,False,False,False
21,STAGE16_CATBOOST_TUNED,10,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.507171630859375,1,74954137,1347130127,716220,10610340,4232210,1437643974,1791587770,1316232b66e1cc125676565375ee6e34471dab6a6b40fe03a4d3751befbf1ac8,PASS,False,False,False
22,ENS_LGBM_XGB_EQUAL,14,CPU_1_PHYSICAL_CORE,1,0,1,0.3,29.537071228027344,1,74246947,2024347220,728900,86814046,5033960,2191172084,2717124853,82b0f54611f58adb3d687e6d006f8cf3bb94e4a973a21cd76beb3aed53efa4ea,PASS,False,False,False
23,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,4,CPU_1_PHYSICAL_CORE,1,0,1,0.7,29.517169952392578,1,76062587,1354973968,6680769,95332356,9659119,1542709970,2106965278,aebbd0dc5e431cf6090d0745c6ef1e4f2bfa13a709e76465f3cb932ea940b17e,PASS,False,False,False
24,STAGE16_XGBOOST_TUNED,18,CPU_1_PHYSICAL_CORE,1,0,1,1.5,29.547698974609375,1,121121216,1278577221,758980,30330139,7403230,1438191776,1789094422,a0f5d59a72019a90642607cfb812a8b86bbe1f518621614ef737200c96973278,PASS,False,False,False
